designation,date,r_hel,ta_deg,q_h2o,q_h2o_limit,q_co2,q_co2_limit,q_co,q_co_limit,q_co_q_co2,q_co_q_co2_err,q_co_q_h2o,q_co_q_h2o_err,q_co2_q_h2o,q_co2_q_h2o_err,one_over_a0,reference,instrument,regime,methodology,source_table,epoch_id,notes
67P/Churyumov-Gerasimenko,2015/08/13,1.24,359,1.581e+28,,6.260e+26,,4.780e+26,,0.76,,0.03,,0.04,,,Combi et al. 2020,Rosetta ROSINA DFMS,in situ,direct,Table 2,T2-11,Representative value near perihelion
67P/Churyumov-Gerasimenko,2016/01/02,2.03,89,1.150e+27,,2.710e+26,,3.600e+25,,0.13,,0.03,,0.24,,,Combi et al. 2020,Rosetta ROSINA DFMS,in situ,direct,Table 2,T2-12,Representative value post-perihelion
81P/Wild 2,2009/12/14,1.74,320,6.000e+27,,8.630e+26,,2.240e+26,<,0.26,,0.04,,0.14,0.02,,Ootsubo et al. 2012,AKARI IRC/NC,near-IR,direct,Table 2,T2-13,CO upper limit
88P/Howell,2009/07/03,1.73,294,3.350e+27,,8.650e+26,,2.720e+26,<,0.31,,0.08,,0.26,0.04,,Ootsubo et al. 2012,AKARI IRC/NC,near-IR,direct,Table 2,T2-14,CO upper limit
103P/Hartley 2,2010/11/02,1.06,8,1.000e+28,,2.000e+27,,,,0.01,,0.003,,0.2,,,A'Hearn et al. 2011,Deep Impact/EPOXI HRI-IR,near-IR,direct,Table 2,T2-15,Ratios use the 2010/11/04 HST CO
103P/Hartley 2,2010/11/04,1.06,8,,,,,2.600e+25,,,,,,,,,Weaver et al. 2011,HST COS,UV,direct,Table 2,T2-16,CO from CO 4th Positive bands
144P/Kushida,2009/04/18,1.7,53,3.760e+27,,5.570e+26,,1.140e+26,<,0.2,,0.03,,0.15,0.02,,Ootsubo et al. 2012,AKARI IRC/NC,near-IR,direct,Table 2,T2-17,CO upper limit
C/1979 Y1 (Bradfield),1980/01/10,0.71,56,1.460e+29,,,,5.100e+27,,1,,0.03,,,,232.7,Feldman et al. 1997; Tozzi et al. 1998,IUE SWP,UV,direct,Table 2,T2-18,CO from CO 4th Positive bands; CO2 for the same epoch is the companion row
C/1979 Y1 (Bradfield),1980/01/10,0.71,56,,,5.100e+27,,,,1,,,,0.03,,232.7,Feldman et al. 1997; Tozzi et al. 1998,IUE SWP,UV,indirect,Table 2,T2-18,CO2 inferred from CO Cameron bands; H2O in the companion row
C/1989 X1 (Austin),1990/05/09,0.83,99,1.020e+29,,,,1.700e+27,,0.81,,0.02,,,,0.3,Feldman et al. 1997; Tozzi et al. 1998,IUE SWP,UV,direct,Table 2,T2-19,CO from CO 4th Positive bands
C/1989 X1 (Austin),1990/05/09,0.83,99,,,2.100e+27,,,,0.81,,,,0.02,,0.3,Feldman et al. 1997; Tozzi et al. 1998,IUE SWP,UV,indirect,Table 2,T2-19,CO2 inferred from CO Cameron bands
C/1990 K1 (Levy),1990/08/26,1.38,291,2.480e+29,,,,1.010e+28,,0.59,,0.04,,,,0.7,Feldman et al. 1997; Tozzi et al. 1998,IUE SWP,UV,direct,Table 2,T2-20,CO from CO 4th Positive bands
C/1990 K1 (Levy),1990/08/26,1.38,291,,,1.700e+28,,,,0.59,,,,0.07,,0.7,Feldman et al. 1997; Tozzi et al. 1998,IUE SWP,UV,indirect,Table 2,T2-20,CO2 inferred from CO Cameron bands
C/1990 K1 (Levy),1990/09/18,1.13,311,2.010e+29,,,,1.680e+28,,0.63,,0.08,,,,0.7,Feldman et al. 1997; Tozzi et al. 1998,IUE SWP,UV,direct,Table 2,T2-21,CO from CO 4th Positive bands
C/1990 K1 (Levy),1990/09/18,1.13,311,,,2.680e+28,,,,0.63,,,,0.13,,0.7,Feldman et al. 1997; Tozzi et al. 1998,IUE SWP,UV,indirect,Table 2,T2-21,CO2 inferred from CO Cameron bands
C/1995 O1 (Hale-Bopp),1996/04/27,4.58,233,1.310e+28,,1.300e+28,,7.000e+28,,5.38,,5.34,,0.99,,38.4,Crovisier et al. 1999a; Colom et al. 1997,ISO ISOPHOT-S,near-IR,direct,Table 2,T2-22,H2O from Colom et al. 1997 OH radio observations used as a proxy
C/1995 O1 (Hale-Bopp),1996/09/26,2.93,248,3.300e+29,,7.400e+28,,2.300e+29,,3.11,,0.7,,0.22,,38.4,Crovisier et al. 1999a,ISO ISOPHOT-S,near-IR,direct,Table 2,T2-23,
C/1995 O1 (Hale-Bopp),1997/12/29,3.89,122,2.800e+28,,3.500e+28,,1.500e+29,,4.29,,5.36,,1.25,,38.4,Crovisier et al. 1999a,ISO ISOPHOT-S,near-IR,direct,Table 2,T2-24,
C/1995 O1 (Hale-Bopp),1998/04/06,4.9,129,,,3.000e+28,,3.000e+29,,10,,,,,,38.4,Crovisier et al. 1999a,ISO ISOPHOT-S,near-IR,direct,Table 2,T2-25,
C/1996 B2 (Hyakutake),1996/06/02,0.94,170,1.530e+29,,,,1.800e+28,,2.83,0.96,0.111,0.007,,,15.5,McPhate 1999,HST FOS,UV,direct,Table 2,T2-26,CO from CO 4th Positive bands; H2O derived from the OH band
C/1996 B2 (Hyakutake),1996/06/02,0.94,170,,,6.000e+27,,,,2.83,0.96,,,0.04,0.01,15.5,McPhate 1999,HST FOS,UV,indirect,Table 2,T2-26,CO2 inferred from CO Cameron bands
C/2006 OF2 (Broughton),2008/09/16,2.43,0,6.120e+27,,1.397e+27,,2.520e+26,<,0.18,,0.04,,0.23,0.03,0.2,Ootsubo et al. 2012,AKARI IRC/NC,near-IR,direct,Table 2,T2-27,CO upper limit
C/2006 OF2 (Broughton),2009/03/28,3.2,59,1.700e+27,,9.900e+26,,4.460e+26,<,0.45,,0.26,,0.58,0.09,0.2,Ootsubo et al. 2012,AKARI IRC/NC,near-IR,direct,Table 2,T2-28,CO upper limit
C/2006 Q1 (McNaught),2008/06/03,2.78,351,3.630e+27,,1.619e+27,,3.670e+26,<,0.23,,0.1,,0.45,0.06,0.4,Ootsubo et al. 2012,AKARI IRC/NC,near-IR,direct,Table 2,T2-29,CO upper limit
C/2006 W3 (Christensen),2008/12/21,3.66,315,8.300e+27,,8.459e+27,,2.993e+28,,3.54,0.5,3.61,0.519,1.02,0.15,3.7,Ootsubo et al. 2012,AKARI IRC/NC,near-IR,direct,Table 2,T2-30,
C/2006 W3 (Christensen),2009/06/16,3.13,355,2.010e+28,,8.466e+27,,1.977e+28,,2.34,0.33,0.98,0.14,0.42,0.06,3.7,Ootsubo et al. 2012,AKARI IRC/NC,near-IR,direct,Table 2,T2-31,
C/2007 N3 (Lulin),2009/02/05,1.28,26,4.091e+28,,4.848e+27,,8.670e+26,<,0.18,,0.02,,0.12,0.02,0.3,Ootsubo et al. 2012,AKARI IRC/NC,near-IR,direct,Table 2,T2-32,CO upper limit
C/2007 N3 (Lulin),2009/03/30,1.7,64,2.238e+28,,2.242e+27,,2.860e+26,<,0.13,,0.01,,0.1,0.01,0.3,Ootsubo et al. 2012,AKARI IRC/NC,near-IR,direct,Table 2,T2-33,CO upper limit
C/2007 Q3 (Siding Spring),2009/03/03,3.29,292,3.980e+27,,6.950e+26,,3.970e+26,<,0.57,,0.1,,0.17,0.03,0.3,Ootsubo et al. 2012,AKARI IRC/NC,near-IR,direct,Table 2,T2-34,CO upper limit
C/2008 Q3 (Garradd),2009/07/05,1.81,7,1.120e+28,,3.104e+27,,2.930e+27,,0.94,0.14,0.26,0.038,0.28,0.04,2.5,Ootsubo et al. 2012,AKARI IRC/NC,near-IR,direct,Table 2,T2-35,
C/2009 P1 (Garradd),2012/03/26,2,56,4.600e+28,,3.900e+27,,2.900e+28,,7.44,2.45,0.63,0.206,0.08,0.02,4.2,Feaga et al. 2014,Deep Impact/EPOXI HRI-IR,near-IR,direct,Table 2,T2-36,
C/2012 S1 (ISON),2013/06/13,3.34,187,1.000e+28,<,1.210e+26,,7.000e+26,,5.79,,,,,,1.2,Lisse et al. 2013; Meech et al. 2013,Spitzer IRAC,near-IR,indirect,Table 2,T2-37,"Date is for Spitzer; CO is the modelled value of Meech et al. 2013, CO2 inferred from the Spitzer CO+CO2 4.5 um excess. Water (upper limit) from May 9"
C/2016 R2 (PanSTARRS),2018/02/12,2.76,332,,,9.050e+27,,,,,,,,,,11.7,McKay et al. 2019,Spitzer IRAC,near-IR,indirect,Table 2,T2-38,CO2 inferred from Spitzer IRAC CO+CO2 photometry minus the independent ARO SMT CO
C/2016 R2 (PanSTARRS),2018/02/13,2.76,333,,,,,5.500e+28,,6.08,,,,,,11.7,McKay et al. 2019,ARO 10-m Submillimeter Telescope,radio/mm,direct,Table 2,T2-39,CO J=2-1 at 230 GHz; ~11 hr from the Spitzer epoch
C/2016 R2 (PanSTARRS),2018/02/21,2.73,335,3.100e+26,,,,,,,,177.42,30.907,29.19,,11.7,McKay et al. 2019,DCT LMI,optical,indirect,Table 2,T2-40,H2O from DCT LMI OH narrowband imaging; closest water detection to the CO/CO2 epochs
C/2016 R2 (PanSTARRS),2019/06/10,4.72,84,,,6.210e+26,,,,19,,,,,,11.7,"McKay, A. et al. (in prep., priv. comm.)",Spitzer IRAC,near-IR,indirect,Table 2,T2-41,CO2 inferred from the Spitzer CO+CO2 proxy
C/2016 R2 (PanSTARRS),2019/06/12,4.73,84,,,,,1.180e+28,,,,,,,,11.7,Wierzchos 2019,ARO 10-m Submillimeter Telescope,radio/mm,direct,Table 2,T2-42,CO J=2-1 at 230 GHz
19P/Borrelly,2008/12/30,2.19,,6.400e+26,,1.600e+26,,,,,,,,0.25,0.037,,Ootsubo et al. 2012,AKARI IRC/NC,near-IR,direct,Table 3,T3-01,
64P/Swift-Gehrels,2009/11/23,2.27,,6.900e+26,,1.500e+26,,,,,,,,0.22,0.033,,Ootsubo et al. 2012,AKARI IRC/NC,near-IR,direct,Table 3,T3-02,
103P/Hartley 2,1997/12/31,1.04,,,,1.200e+27,,,,,,,,,,,Crovisier et al. 1999b,,,,Table 3,T3-03,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
103P/Hartley 2,1998/01/01,1.04,,1.240e+28,,,,,,,,,,0.097,,,Crovisier et al. 1999b,,,,Table 3,T3-04,"CO2/H2O ratio combines this water with the 1997/12/31 CO2. Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
116P/Wild 4,2009/05/16,2.22,,1.580e+27,,9.000e+25,,,,,,,,0.056,0.008,,Ootsubo et al. 2012,AKARI IRC/NC,near-IR,direct,Table 3,T3-05,
118P/Shoemaker-Levy 4,2009/09/08,2.18,,1.000e+27,,3.000e+26,,,,,,,,0.3,0.043,,Ootsubo et al. 2012,AKARI IRC/NC,near-IR,direct,Table 3,T3-06,
157P/Tritton,2009/12/30,1.48,,4.500e+26,,3.000e+25,,,,,,,,0.069,0.01,,Ootsubo et al. 2012,AKARI IRC/NC,near-IR,direct,Table 3,T3-07,
C/2007 G1 (LINEAR),2008/08/20,2.8,,1.840e+27,,4.200e+26,,,,,,,,0.23,0.033,,Ootsubo et al. 2012,AKARI IRC/NC,near-IR,direct,Table 3,T3-08,
8P/Tuttle,2008/01/27,1.03,,5.440e+28,,,,2.400e+26,,,,0.004,0.001,,,,Boehnhardt et al. 2008,,,,Table 3,T3-09,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
8P/Tuttle,2007/12/23,1.15,,2.128e+28,,,,8.000e+25,<,,,0.004,,,,,Bonev et al. 2008,,,,Table 3,T3-10,"CO upper limit. Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
21P/Giacobini-Zinner,1998/10/02,1.25,,3.200e+28,,,,3.300e+27,,,,0.1,0.058,,,,Mumma et al. 2000,,,,Table 3,T3-11,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
21P/Giacobini-Zinner,2018/07/30,1.17,,2.316e+28,,,,5.500e+26,,,,0.024,0.006,,,,Faggi et al. 2019,,,,Table 3,T3-12,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
21P/Giacobini-Zinner,2018/10/07,1.09,,2.583e+28,,,,3.700e+26,,,,0.014,0.008,,,,Faggi et al. 2019,,,,Table 3,T3-13,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
41P/Tuttle-Giacobini-Kresak,2017/04/26,1.06,,5.000e+27,,,,8.500e+26,<,,,0.17,,,,,Faggi et al. 2019,,,,Table 3,T3-14,"CO upper limit. Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
45P/Honda-Mrkos-Pajdusakova,2017/01/08,0.56,,3.720e+28,,,,1.900e+26,,,,0.005,0.001,,,,DiSanti et al. 2017,,,,Table 3,T3-15,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
73P/Schwassmann-Wachmann 3,2006/05/27,0.95,,1.310e+28,,,,6.000e+25,,,,0.005,0.002,,,,DiSanti et al. 2007,,,,Table 3,T3-16,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
153P/Ikeya-Zhang,2002/04/20,0.89,,2.150e+29,,,,1.540e+28,,,,0.072,0.004,,,,Lupu et al. 2007,,,,Table 3,T3-17,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/1995 O1 (Hale-Bopp),1997/01/27,1.49,,,,,,,,,,0.267,0.029,,,,DiSanti et al. 2001,,,,Table 3,T3-18,"Only the CO/H2O ratio was published; no production rates. Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/1995 O1 (Hale-Bopp),1997/03/01,1.06,,,,,,,,,,0.271,0.011,,,,DiSanti et al. 2001,,,,Table 3,T3-19,"Only the CO/H2O ratio was published; no production rates. Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/1995 O1 (Hale-Bopp),1997/04/09,0.93,,,,,,,,,,0.276,0.022,,,,DiSanti et al. 2001,,,,Table 3,T3-20,"Only the CO/H2O ratio was published; no production rates. Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/1995 O1 (Hale-Bopp),1997/05/01,1.06,,,,,,,,,,0.28,0.024,,,,DiSanti et al. 2001,,,,Table 3,T3-21,"Only the CO/H2O ratio was published; no production rates. Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/1996 B2 (Hyakutake),1996/03/24,1.06,,2.540e+29,,,,,,,,,,,,,Dello Russo et al. 2002,,,,Table 3,T3-22,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/1996 B2 (Hyakutake),1996/03/24,1.06,,,,,,4.400e+28,,,,0.17,0.02,,,,DiSanti et al. 2003,,,,Table 3,T3-23,"CO/H2O uses the companion water of Dello Russo et al. 2002. Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/1996 B2 (Hyakutake),1996/04/12,0.64,,3.990e+29,,,,,,,,,,,,,Dello Russo et al. 2002,,,,Table 3,T3-24,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/1996 B2 (Hyakutake),1996/04/12,0.64,,,,,,8.030e+28,,,,0.2,0.039,,,,DiSanti et al. 2003,,,,Table 3,T3-25,"CO/H2O uses the companion water of Dello Russo et al. 2002. Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/1999 H1 (Lee),1999/08/20,1.06,,1.260e+29,,,,2.300e+27,,,,0.018,0.002,,,,Mumma et al. 2001c,,,,Table 3,T3-26,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/1999 S4 (LINEAR),2000/07/13,0.81,,4.460e+28,,,,2.000e+26,,,,0.004,0.003,,,,Mumma et al. 2001b,,,,Table 3,T3-27,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/1999 T1 (McNaught-Hartley),2001/01/13,1.3,,8.200e+28,,,,1.400e+28,,,,0.17,0.05,,,,Mumma et al. 2001a,,,,Table 3,T3-28,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/2000 WM1 (LINEAR),2001/11/25,1.32,,1.771e+28,,,,9.000e+25,,,,0.005,0.001,,,,Radeva et al. 2010,,,,Table 3,T3-29,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/2001 A2 (LINEAR),2001/07/10,1.17,,,,,,1.660e+27,,,,,,,,,Magee-Sauer et al. 2008,,,,Table 3,T3-30,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/2001 A2 (LINEAR),2001/07/10,1.17,,4.300e+28,,,,,,,,0.039,0.011,,,,Dello Russo et al. 2005,,,,Table 3,T3-31,"CO/H2O uses the companion CO of Magee-Sauer et al. 2008. Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/2001 Q4 (NEAT),2004/04/26,1.02,,2.000e+29,,,,1.760e+28,,,,0.088,0.008,,,,Lupu et al. 2007,,,,Table 3,T3-32,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/2004 Q2 (Machholz),2004/11/29,1.48,,1.253e+29,,,,6.350e+27,,,,0.051,0.005,,,,Bonev et al. 2009,,,,Table 3,T3-33,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/2006 M4 (SWAN),2006/11/07,1.08,,1.756e+29,,,,8.700e+26,,,,0.005,0.002,,,,DiSanti et al. 2009,,,,Table 3,T3-34,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/2006 P1 (McNaught),2007/01/27,0.55,,1.740e+30,,,,3.410e+28,,,,0.02,0.004,,,,Dello Russo et al. 2009,,,,Table 3,T3-35,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/2007 N3 (Lulin),2009/02/01,1.26,,2.013e+29,,,,4.360e+27,,,,0.022,0.001,,,,Gibb et al. 2012,,,,Table 3,T3-36,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/2007 W1 (Boattini),2008/07/10,0.9,,1.223e+28,,,,5.500e+26,,,,0.045,0.005,,,,Villanueva et al. 2011,,,,Table 3,T3-37,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/2009 P1 (Garradd),2011/09/21,2.01,,1.410e+29,,,,6.700e+27,,,,0.048,0.011,,,,McKay et al. 2015,,,,Table 3,T3-38,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/2009 P1 (Garradd),2011/10/10,1.85,,1.640e+29,,,,1.030e+28,,,,0.063,0.011,,,,McKay et al. 2015,,,,Table 3,T3-39,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/2009 P1 (Garradd),2012/01/25,1.62,,1.050e+29,,,,1.640e+28,,,,0.16,0.032,,,,McKay et al. 2015,,,,Table 3,T3-40,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/2009 P1 (Garradd),2012/02/27,1.69,,1.000e+29,,,,1.960e+28,,,,0.196,0.05,,,,McKay et al. 2015,,,,Table 3,T3-41,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/2010 G2 (Hill),2012/01/10,2.51,,6.100e+27,,,,4.700e+27,,,,0.77,0.121,,,,Kawakita et al. 2014,,,,Table 3,T3-42,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/2012 F6 (Lemmon),2013/03/31,0.75,,4.590e+29,,,,1.950e+28,,,,0.042,0.006,,,,Paganini et al. 2014b,,,,Table 3,T3-43,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/2012 S1 (ISON),2013/11/17,0.53,,1.827e+29,,,,2.240e+27,,,,0.012,0.002,,,,DiSanti et al. 2016,,,,Table 3,T3-44,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/2013 R1 (Lovejoy),2013/10/24,1.34,,1.532e+28,,,,1.520e+27,,,,0.099,0.02,,,,Paganini et al. 2014a,,,,Table 3,T3-45,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/2013 R1 (Lovejoy),2013/12/10,0.84,,,,,,,,,,0.123,0.017,,,,Dello Russo et al. 2016,,,,Table 3,T3-46,"Only the CO/H2O ratio was published; no production rates. Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/2020 F3 (NEOWISE),2020/07/20,0.56,,4.413e+29,,,,8.280e+27,,,,0.019,0.001,,,,Faggi et al. 2021,,,,Table 3,T3-47,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
C/2020 F3 (NEOWISE),2020/08/01,0.83,,1.177e+29,,,,3.000e+27,,,,0.026,0.001,,,,Faggi et al. 2021,,,,Table 3,T3-48,"Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
2I/Borisov,"2019/12/19-22, 2020/01/13",2.12,,,,,,,,,,1.425,0.125,,,,Bodewits et al. 2020,,,,Table 3,T3-49,"Median over the listed dates; r_hel is the median. Only the CO/H2O ratio was published. Instrument, regime and methodology are not specified in Harrington Pinto et al. 2022; see the original reference"
