designation,visit,r_hel,delta_au,q_peri,ecc,incl_deg,orbital_class,dynamical_group,q_co2,q_co2_err,q_co,measured_quantity,afrho,afrho_err,w1_flux_mjy,w1_flux_err_mjy,w2_flux_mjy,w2_flux_err_mjy,t_eff_k,phase_angle_deg,n_obs,mjd_midpoint,reference,instrument,regime,methodology,notes
C/2013 G3 (PANSTARRS),C,3.97,3.8,3.85,1,64.68,LPC,LPC,1.060e+26,2.200e+25,,Q_CO2^proxy (total CO+CO2),113.04,28.79,0.11,0.03,0.18,0.04,143.54,14.8,21,56866.14247,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
C/2013 G6 (PANSTARRS),A,2.65,2.44,2.05,0.99,124.09,LPC,LPC,2.200e+26,1.800e+25,,Q_CO2^proxy (total CO+CO2),117.24,25.71,0.38,0.09,0.91,0.21,175.69,21.8,9,56641.84627,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
C/2013 N4 (Borisov),A,2.59,2.35,1.21,0.97,37.04,LPC,LPC,3.010e+26,1.700e+25,,Q_CO2^proxy (total CO+CO2),71.81,17.05,0.25,0.06,1.16,0.26,177.71,22.3,11,56689.64091,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
C/2013 P2 (PANSTARRS),A,2.85,2.65,2.83,1,125.53,LPC,LPC,3.970e+25,8.400e+24,,Q_CO2^proxy (total CO+CO2),14.78,4.73,0.04,0.01,0.12,0.03,169.41,20.4,11,56734.93754,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
C/2013 PE67 (Catalina-Spacewatch),A,2.19,1.95,1.85,0.97,116.72,LPC,LPC,5.030e+25,6.000e+24,,Q_CO2^proxy (total CO+CO2),12.82,3.41,0.08,0.02,0.3,0.07,193.26,27,16,56731.97056,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
C/2013 R1 (Lovejoy),B,3.6,3.41,0.81,1,64.04,LPC,LPC,2.810e+26,2.800e+25,,Q_CO2^proxy (total CO+CO2),116.92,28.76,0.15,0.04,0.47,0.11,150.74,16.3,15,56888.36547,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
C/2013 UQ4 (Catalina),A,2.87,2.65,1.08,0.98,145.25,LPC,LPC,1.820e+26,1.300e+25,,Q_CO2^proxy (total CO+CO2),35.74,8.85,0.13,0.03,0.75,0.17,168.82,20,6,56657.41120,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
C/2013 US10 (Catalina),A,6.35,6.2,0.82,1,148.85,LPC,LPC,6.090e+26,1.060e+26,,Q_CO2^proxy (total CO+CO2),955.16,226.37,0.21,0.05,0.33,0.08,113.5,9.21,20,56828.01071,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
C/2013 US10 (Catalina),B,4.9,4.75,0.82,1,148.85,LPC,LPC,8.700e+26,8.100e+25,,Q_CO2^proxy (total CO+CO2),1504.50,338.22,0.73,0.16,1.01,0.23,129.2,11.5,12,56979.70950,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
C/2013 V1 (Boattini),A,1.97,1.65,1.66,1,65.31,LPC,LPC,3.090e+26,1.500e+25,,Q_CO2^proxy (total CO+CO2),210.24,46.65,1.83,0.41,3.43,0.76,203.77,29.9,8,56687.36220,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; Rh < 2 au: possible nucleus contribution, use with caution (Gicquel+2023 Table 2 footnote a)"
C/2013 V4 (Catalina),B,5.99,5.86,5.19,1,67.84,LPC,LPC,4.180e+26,6.900e+25,,Q_CO2^proxy (total CO+CO2),352.87,91.60,0.09,0.02,0.22,0.05,116.86,9.68,14,56899.78044,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
C/2013 V5 (Oukaimeden),A,3.35,3.14,0.61,1,154.87,LPC,LPC,1.320e+26,2.100e+25,,Q_CO2^proxy (total CO+CO2),163.43,38.32,0.26,0.06,0.37,0.09,156.26,17.2,7,56719.63656,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
C/2013 Y2 (PANSTARRS),A,1.97,1.64,1.92,0.99,29.42,LPC,LPC,3.710e+26,1.400e+25,,Q_CO2^proxy (total CO+CO2),128.78,28.74,1.13,0.25,3.33,0.74,203.77,30.6,9,56783.61984,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; Rh < 2 au: possible nucleus contribution, use with caution (Gicquel+2023 Table 2 footnote a)"
C/2013 Y2 (PANSTARRS),B,1.96,1.65,1.92,0.99,29.42,LPC,LPC,3.550e+26,1.400e+25,,Q_CO2^proxy (total CO+CO2),120.17,26.83,1.06,0.24,3.17,0.7,204.29,31.1,22,56790.13521,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; Rh < 2 au: possible nucleus contribution, use with caution (Gicquel+2023 Table 2 footnote a)"
C/2014 C3 (NEOWISE),A,1.9,1.59,1.86,0.98,151.78,LPC,LPC,9.920e+25,7.300e+24,,Q_CO2^proxy (total CO+CO2),30.41,7.08,0.3,0.07,0.95,0.22,207.49,31.3,6,56703.00611,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; Rh < 2 au: possible nucleus contribution, use with caution (Gicquel+2023 Table 2 footnote a); also reported by Bauer et al. 2015 (same epoch, results agree)"
C/2014 C3 (NEOWISE),B,2.32,2,1.86,0.98,151.78,LPC,LPC,1.400e+25,5.100e+24,,Q_CO2^proxy (total CO+CO2),20.17,5.17,0.1,0.03,0.13,0.04,187.77,25.7,8,56788.17051,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; also reported by Bauer et al. 2015 (same epoch, results agree)"
C/2014 E2 (Jacques),A,2.63,2.39,0.66,1,156.39,LPC,LPC,7.070e+26,2.700e+25,,Q_CO2^proxy (total CO+CO2),222.79,50.07,0.75,0.17,2.71,0.6,176.36,21.9,9,56687.99112,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
C/2014 N2 (PANSTARRS),B,2.21,1.95,2.18,1,133.01,LPC,LPC,1.120e+26,1.100e+25,,Q_CO2^proxy (total CO+CO2),69.05,16.18,0.4,0.09,0.82,0.19,196.38,27.1,5,56908.55454,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
C/2014 N3 (NEOWISE),A,4.45,4.29,3.88,1,61.63,LPC,LPC,2.570e+26,4.100e+25,,Q_CO2^proxy (total CO+CO2),363.40,85.49,0.24,0.06,0.35,0.08,135.58,13.2,7,56842.42475,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; also reported by Bauer et al. 2015 (same epoch, results agree)"
C/2014 Q1 (PANSTARRS),B,3.79,3.61,0.31,1,43.07,LPC,LPC,2.210e+26,2.900e+25,,Q_CO2^proxy (total CO+CO2),226.40,53.19,0.24,0.06,0.41,0.1,146.91,15.1,10,56983.25860,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
C/2014 Q2 (Lovejoy),A,1.7,1.35,1.29,1,80.3,LPC,LPC,1.060e+28,1.000e+26,,Q_CO2^proxy (total CO+CO2),3140.56,690.96,45.04,9.91,151.42,33.31,219.35,35.5,20,56977.06118,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; Rh < 2 au but the signal is coma-dominated (extended coma), per Gicquel+2023 Table 2 footnote a"
C/2014 R4 (Gibbs),B,1.86,1.52,1.82,1,42.41,LPC,LPC,1.970e+26,9.000e+24,,Q_CO2^proxy (total CO+CO2),20.97,4.94,0.22,0.05,1.72,0.38,209.71,32,18,56983.23193,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; Rh < 2 au: possible nucleus contribution, use with caution (Gicquel+2023 Table 2 footnote a)"
106P (Schuster),B,1.98,1.66,1.55,0.59,20.15,JFC,SPC,4.610e+25,5.000e+24,,Q_CO2^proxy (total CO+CO2),6.26,1.83,0.05,0.02,0.34,0.08,203.25,29.8,10,56979.60973,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; Rh < 2 au: possible nucleus contribution, use with caution (Gicquel+2023 Table 2 footnote a)"
108P (Ciffreo),B,1.79,1.42,1.71,0.54,13.1,JFC,SPC,2.680e+26,1.000e+25,,Q_CO2^proxy (total CO+CO2),49.52,11.18,0.61,0.14,2.89,0.64,213.77,34.3,18,56893.59830,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; Rh < 2 au: possible nucleus contribution, use with caution (Gicquel+2023 Table 2 footnote a)"
110P (Hartley 3),A,2.52,2.27,2.48,0.31,11.69,JFC,SPC,6.210e+25,8.600e+24,,Q_CO2^proxy (total CO+CO2),32.63,8.22,0.13,0.03,0.3,0.07,180.16,23.4,16,56933.84848,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
113P (Spitaler),B,2.34,2.08,2.21,0.42,5.78,JFC,SPC,4.270e+25,6.600e+24,,Q_CO2^proxy (total CO+CO2),19.25,5.01,0.09,0.02,0.25,0.06,186.96,24.8,10,57003.50698,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
117P (Helin-Roman-Alu 1),A,3.06,2.83,3.06,0.25,8.7,JFC,SPC,2.340e+26,2.500e+25,,Q_CO2^proxy (total CO+CO2),401.08,89.92,0.84,0.19,1,0.22,163.5,19.2,11,56778.59273,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
117P (Helin-Roman-Alu 1),B,3.22,3.01,3.06,0.25,8.7,JFC,SPC,2.030e+26,2.800e+25,,Q_CO2^proxy (total CO+CO2),524.10,117.27,0.93,0.21,0.93,0.21,159.38,17.9,15,56955.91027,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
124P (Mrkos),A,1.77,1.42,1.65,0.5,31.53,JFC,SPC,1.500e+26,7.000e+24,,Q_CO2^proxy (total CO+CO2),14.10,3.38,0.18,0.04,1.49,0.33,214.97,34.9,21,56827.70765,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; Rh < 2 au: possible nucleus contribution, use with caution (Gicquel+2023 Table 2 footnote a)"
134P (Kowal–Vavrova),A,2.76,2.55,2.57,0.59,4.35,JFC,SPC,1.410e+26,1.500e+25,,Q_CO2^proxy (total CO+CO2),125.91,28.96,0.36,0.08,0.61,0.14,172.15,20.9,9,56675.14157,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
134P (Kowal–Vavrova),B,2.63,2.36,2.57,0.59,4.35,JFC,SPC,1.450e+26,1.400e+25,,Q_CO2^proxy (total CO+CO2),151.04,34.26,0.51,0.12,0.78,0.18,176.36,22.7,16,56865.80458,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
